q,Iq,Autofit,phiq,phiq_damp
8.077474535350861,218.3344537815126,103.80114885659088,1.7073267471133429,1.0398971083970745
8.097517896480765,216.67962409226823,103.06856087354016,1.7101803952704042,1.0390721567576653
8.117561257610667,214.85515202702703,102.34313533949307,1.7101949490198567,1.0365179063633403
8.13760461874057,213.2017766497462,101.62477772772732,1.7125207525578652,1.0353609640820876
8.157647979870472,211.4808027923212,100.91339501577691,1.7135306605324785,1.0334034951127944
8.177691341000376,209.7289229528036,100.20889566011508,1.7137642955024952,1.030976076288227
8.197734702130278,207.9653229302124,99.51118957126144,1.7135064453836888,1.028253126397071
8.217778063260182,206.41186161449752,98.82018808930938,1.7162863811581677,1.0273494674201618
8.237821424390084,204.66173986486487,98.1358039598626,1.7156447460158788,1.0243946561224893
8.257864785519986,202.74978902953583,97.45795131037508,1.7120528123447414,1.0196847899296138
8.27790814664989,201.20371117386043,96.78654562688816,1.7140931104924355,1.0183319870797454
8.297951507779793,199.3531914893617,96.12150373115551,1.710823811162084,1.013826883982891
8.317994868909695,197.81946169772257,95.4627437581502,1.7124903324813396,1.0122494161260724
8.338038230039597,196.1488046166529,94.81018513394775,1.7115757541881234,1.0091454578595689
8.358081591169501,194.3927680798005,94.16374855397753,1.7088892340911574,1.005002503824087
8.378124952299403,192.7590890930883,93.52335596163664,1.7079604310113767,1.0018990602580926
8.398168313429307,191.0772151898734,92.88893052725965,1.7058811223992247,0.9981256357665804
8.41821167455921,189.4500202347228,92.2603966274391,1.7044274137757254,0.99472398196794
8.438255035689114,187.80453257790367,91.63767982468872,1.7023300341951233,0.9909524565361636
8.458298396819016,186.2909768211921,91.02070684744572,1.7022596464947193,0.9883646153410196
8.478341757948918,184.57085668534828,90.40940557040534,1.698173174826683,0.983451703765123
8.49838511907882,182.98846787479408,89.80370499518187,1.696229501638986,0.9797893116896847
8.518428480208724,181.3487558320373,89.203535231291,1.6929101864686686,0.9753407645570744
8.538471841338627,179.63580750407831,88.60882747744829,1.6878864569212446,0.9699233337051516
8.55851520246853,178.0061099796334,88.01951400317822,1.684044536989213,0.9651989062117666
8.578558563598433,176.46033653846155,87.43552813072858,1.6814354074030664,0.9611913513379268
8.598601924728337,174.78150242326333,86.85680421728554,1.675962223227187,0.9555593300189612
8.61864528585824,173.3222526398123,86.28327763748386,1.6743343283138132,0.9521310494820568
8.638688646988141,171.7594583831143,85.7148847662084,1.6703901507602112,0.9473946540407676
8.658732008118044,170.1726618705036,85.15156296168071,1.6656286491047465,0.9422084666453436
8.678775369247948,168.70880626223092,84.59325054882768,1.6629374097513674,0.9382053025054216
8.69881873037785,167.20293884034947,84.03988680292639,1.6590874215796552,0.9335589744993356
8.718862091507754,165.44151820294346,83.4914119335211,1.649752729391971,0.9258469478997314
8.738905452637656,163.9996034892942,82.94776706860866,1.646470522083466,0.9215512824277448
8.758948813767558,162.4990306320279,82.40889423908662,1.6416601195187783,0.9164132273859342
8.778992174897462,161.19250493096646,81.87473636346117,1.6405113170166512,0.9133289691266134
8.799035536027365,159.7299726455647,81.34523723281006,1.635822757846582,0.9082836522284432
8.819078897157267,158.32799687622023,80.82034149599674,1.6320629169907768,0.903767555862793
8.839122258287171,156.9196357878068,80.29999464513075,1.6278394330875336,0.899007594489351
8.859165619417073,155.67385645221273,79.78414300127265,1.6267663708679203,0.895996423866959
8.879208980546975,154.24902723735408,79.27273370037659,1.621544204040215,0.8907104047467166
8.89925234167688,152.85402298850576,78.7657146794693,1.616623350431268,0.8856060443135728
8.919295702806782,151.456906729634,78.26303466306099,1.6113136581661107,0.8803049673843729
8.939339063936686,150.3151927437642,77.76464314978341,1.6113288482646833,0.8779220047756183
8.959382425066588,149.1602017067494,77.27049039925292,1.6107950950375691,0.8752418730092701
8.979425786196492,148.04398938187333,76.78052741915448,1.6108777789692406,0.8728985332464507
8.999469147326392,146.7456603773585,76.29470595254287,1.606559304260995,0.8681777825029725
