r,Gr
2.06,0.2511150305237901
2.07,0.1452995460380101
2.08,0.0430835254848786
2.09,-0.0554976544680679
2.1,-0.1504240184195666
2.11,-0.2416864799187229
2.12,-0.3292834399822601
2.13,-0.4132181818620847
2.14,-0.493496750328565
2.15,-0.5701260505252456
2.16,-0.6431119823150548
2.17,-0.7124575278209293
2.18,-0.7781608176702984
2.19,-0.8402133003465531
2.2,-0.898598215704766
2.21,-0.9532896178490324
2.22,-1.0042521980468104
2.23,-1.051442123759362
2.24,-1.0948090385939568
2.25,-1.1342992677969732
2.26,-1.169860156014432
2.27,-1.2014453418198712
2.28,-1.229020660980405
2.29,-1.2525702807322916
2.3,-1.2721026112546274
2.31,-1.287655525326168
2.32,-1.2993004457744912
2.33,-1.3071449310987715
2.34,-1.311333496441757
2.35,-1.3120465399922143
2.36,-1.309497391281342
2.37,-1.3039276436782674
2.38,-1.295601064771938
2.39,-1.2847964828834222
2.4,-1.2718001161451358
2.41,-1.256897836666446
2.42,-1.2403678448671756
2.43,-1.2224741711132785
2.44,-1.2034613303670665
2.45,-1.1835503409166075
2.46,-1.162936192687355
2.47,-1.1417867271904043
2.48,-1.1202427821591323
2.49,-1.098419369700973
2.5,-1.0764076046004976
2.51,-1.054277082719609
2.52,-1.0320784276294768
2.53,-1.0098457721383058
2.54,-0.9875990123823156
2.55,-0.9653457553980376
2.56,-0.9430829652147064
2.57,-0.920798386309866
2.58,-0.8984718770645045
2.59,-0.8760768125682071
2.6,-0.8535817121466778
2.61,-0.8309522125921633
2.62,-0.8081534474361866
2.63,-0.7851528133094838
2.64,-0.7619230166679769
2.65,-0.7384452095345813
2.66,-0.7147119531199808
2.67,-0.6907297036690818
2.68,-0.6665205035372533
2.69,-0.6421225867112564
2.7,-0.6175896719883236
2.71,-0.5929888147192741
2.72,-0.5683968112787159
2.73,-0.5438952878221418
2.74,-0.5195647428231568
2.75,-0.4954779369545751
2.76,-0.4716931203932978
2.77,-0.4482476450758984
2.78,-0.4251525197505168
2.79,-0.4023884252071178
2.8,-0.3799036170916146
2.81,-0.3576140104336661
2.82,-0.3354055741208706
2.83,-0.3131389792274678
2.84,-0.2906562587459829
2.85,-0.2677890649009035
2.86,-0.2443679698505058
2.87,-0.2202321596161564
2.88,-0.1952388289906985
2.89,-0.1692716015384127
2.9,-0.1422473727785853
2.91,-0.1141211000452238
2.92,-0.0848882283267713
2.93,-0.0545846328182958
2.94,-0.0232841587871253
2.95,0.0089059702644884
2.96,0.041851441226023
2.97,0.0753982788010848
2.98,0.1093807819721891
2.99,0.1436293248899057
3.0,0.1779774197919495
3.01,0.2122675337204043
3.02,0.2463552869759677
3.03,0.2801118257345178
3.04,0.3134243379763107
3.05,0.3461948539689424
3.06,0.3783376239854824
3.07,0.4097754831014201
3.08,0.4404356858441873
3.09,0.4702457167745514
3.1,0.4991295563595311
3.11,0.527004809260152
3.12,0.5537809932579337
3.13,0.5793591536863665
3.14,0.6036328246683261
3.15,0.6264902194937656
3.16,0.6478174119569624
3.17,0.6675021799221146
3.18,0.6854381298615985
3.19,0.7015287104846184
3.2,0.7156907542383592
3.21,0.7278572525155707
3.22,0.7379791652623072
3.23,0.7460261770890302
3.24,0.7519864272629291
3.25,0.7558653473724128
3.26,0.7576838265948197
3.27,0.7574759814697112
3.28,0.7552868294078611
3.29,0.7511701513324103
3.3,0.7451867813841495
3.31,0.7374034867775942
3.32,0.7278925078972528
3.33,0.7167317287402577
3.34,0.7040053526962478
3.35,0.6898048796395782
3.36,0.6742301267668235
3.37,0.6573900140329285
3.38,0.6394028483130092
3.39,0.6203958875190506
3.4,0.6005040419901699
3.41,0.5798676674151589
3.42,0.558629510771452
3.43,0.5369309764213249
3.44,0.5149079717248456
3.45,0.4926866597125444
3.46,0.4703794823346979
3.47,0.448081816721164
3.48,0.4258695877762832
3.49,0.4037980863532698
3.5,0.3819021400012372
3.51,0.3601976627266929
3.52,0.3386844832979091
3.53,0.3173502311280591
3.54,0.2961749570070341
3.55,0.2751360934640336
3.56,0.2542133240263038
3.57,0.2333929361156921
3.58,0.2126712787058174
3.59,0.1920570289344162
3.6,0.1715720836944689
3.61,0.1512510219520625
3.62,0.1311392184609452
3.63,0.1112898164110052
3.64,0.0917598728966688
3.65,0.0726060665049233
3.66,0.0538803934880409
3.67,0.0356262744264117
3.68,0.017875447709898
3.69,0.0006459443788788
3.7,-0.016058670721347
3.71,-0.0322487327619807
3.72,-0.0479466571734832
3.73,-0.0631840587899282
3.74,-0.0779981022812634
3.75,-0.0924274452748331
3.76,-0.1065081671537841
3.77,-0.1202700680057942
3.78,-0.1337336750263313
3.79,-0.1469082132372215
3.8,-0.1597906924011824
3.81,-0.172366143668923
3.82,-0.1846089202252687
3.83,-0.1964848684175736
3.84,-0.2079540906564182
3.85,-0.2189739674281258
3.86,-0.2295020883699651
3.87,-0.2394987629834098
3.88,-0.2489288376503872
3.89,-0.2577626309118477
3.9,-0.2659759041548434
3.91,-0.2735488985660899
3.92,-0.2804645792013219
3.93,-0.2867063214652512
3.94,-0.2922553440170228
3.95,-0.2970882276479158
3.96,-0.3011748580512111
3.97,-0.3044770915625441
3.98,-0.3069483707573354
3.99,-0.308534418643056
4.0,-0.3091750262343281
4.01,-0.3088068304196395
4.02,-0.3073668695768567
4.03,-0.3047966149337977
4.04,-0.3010461157671782
4.05,-0.2960778727628997
4.06,-0.2898700691146881
4.07,-0.2824188421105608
4.08,-0.2737393640430964
4.09,-0.2638656118713649
4.1,-0.252848829198347
4.109999999999999,-0.2407548093975908
4.12,-0.2276602425367269
4.13,-0.2136484596055099
4.14,-0.1988049662353667
4.15,-0.1832131785784704
4.16,-0.1669507541053615
4.17,-0.150086851645708
4.18,-0.1326805637705617
4.19,-0.1147806496265769
4.2,-0.096426568995588
4.21,-0.0776506913127641
4.22,-0.0584814392345023
4.23,-0.0389470363910773
4.24,-0.0190794720259012
4.25,0.0010817231849666
4.26,0.0214862741046711
4.27,0.0420708554092503
4.28,0.0627579166828481
4.29,0.0834557586700865
4.3,0.1040598571670868
4.31,0.1244553090419766
4.32,0.1445201670212432
4.33,0.1641293469263329
4.34,0.1831587411710476
4.35,0.2014891602960337
4.36,0.2190097510006462
4.37,0.2356206014533257
4.38,0.2512343359072685
4.39,0.2657766111712999
4.4,0.27918554570014
4.41,0.2914102256351242
4.42,0.3024085292233758
4.43,0.312144581569871
4.44,0.320586188291408
4.45,0.3277025955096214
4.46,0.3334628848097319
4.47,0.3378352392678501
4.48,0.3407872178734939
4.49,0.3422870608458848
4.5,0.3423059293667291
4.51,0.34082087252302
4.52,0.3378182234000846
4.53,0.3332970649574271
4.54,0.3272723812862574
4.55,0.3197775241748943
4.56,0.3108656777166266
4.57,0.3006100902066496
4.58,0.2891029545790022
4.59,0.2764529452915124
4.6,0.262781548484967
4.61,0.2482184407044122
4.62,0.2328962676987867
4.63,0.2169452391440582
4.64,0.2004879809728695
4.65,0.1836350714818713
4.66,0.1664816316883251
4.67,0.1491052495957663
4.68,0.1315654005958025
4.69,0.1139043932589512
4.7,0.0961497338312293
4.71,0.0783176767098999
4.72,0.0604176238967092
4.73,0.0424569636670265
4.74,0.024445904129367
4.75,0.0064018639659523
4.76,-0.0116469705397177
4.77,-0.0296592308852917
4.78,-0.0475792934232112
4.79,-0.0653376214487948
4.8,-0.0828524652663822
4.81,-0.1000327408352981
4.82,-0.1167818046923455
4.83,-0.1330017688075036
4.84,-0.1485979603281283
4.85,-0.1634831307456838
4.86,-0.1775810560571348
4.87,-0.1908292395357759
4.88,-0.2031805241871715
4.89,-0.2146035329139641
4.9,-0.225081969596939
4.91,-0.2346129222777285
4.92,-0.2432043999066996
4.93,-0.2508723981810308
4.94,-0.257637822116156
4.95,-0.2635235907585354
4.96,-0.268552213954947
4.97,-0.2727440667735958
4.98,-0.2761165012951435
4.99,-0.2786838373859255
5.0,-0.2804581741457078
5.01,-0.2814508724150954
5.02,-0.2816744854160428
5.03,-0.2811448666786845
5.04,-0.2798831665612312
5.05,-0.2779174424206376
5.06,-0.2752836510864578
5.07,-0.2720258609083524
5.08,-0.2681956069315114
5.09,-0.2638504075756955
5.1,-0.2590515546088705
5.11,-0.2538613704724027
5.12,-0.2483401895821849
5.13,-0.242543356606855
5.14,-0.2365185411177565
5.15,-0.2303036436954271
5.16,-0.2239255159641179
5.17,-0.2173996413718134
5.18,-0.2107308324105871
5.19,-0.2039149024875433
5.2,-0.1969411765207606
5.21,-0.1897956228864127
5.22,-0.1824643286107799
5.23,-0.174937005611628
5.24,-0.1672102115912244
5.25,-0.1592899951346742
5.26,-0.1511937279515801
5.27,-0.1429509626172785
5.28,-0.1346032441034912
5.29,-0.1262028989731085
5.3,-0.1178109180408721
5.31,-0.1094941277460577
5.32,-0.1013219049809606
5.33,-0.093362724291746
5.34,-0.0856808324291309
5.35,-0.0783333232237447
5.36,-0.0713678385225775
5.37,-0.0648210537337252
5.38,-0.058718026548796
5.39,-0.0530724029351176
5.4,-0.0478873940666897
5.41,-0.0431573694397094
5.42,-0.0388698615339562
5.43,-0.0350077505232567
5.44,-0.0315513957187364
5.45,-0.0284805030216712
5.46,-0.0257755615129665
5.47,-0.0234187421015682
5.48,-0.0213942200129465
5.49,-0.0196879531176936
5.5,-0.0182870119759164
5.51,-0.0171786081150216
5.52,-0.0163489991130253
5.53,-0.0157824592592423
5.54,-0.0154604920610954
5.55,-0.0153614273012185
5.56,-0.0154604946647552
5.57,-0.0157304039616464
5.58,-0.0161423957110635
5.59,-0.0166676628639178
5.6,-0.0172789919157254
5.61,-0.0179524357067294
5.62,-0.0186688151581153
5.63,-0.0194148551575155
5.64,-0.0201837904112962
5.65,-0.0209753274965104
5.66,-0.0217949145599476
5.67,-0.0226523434407316
5.68,-0.0235597827617824
5.69,-0.0245294068756427
5.7,-0.0255708372198833
5.71,-0.0266886437836002
5.72,-0.027880161175316
5.73,-0.0291338548200969
5.74,-0.0304284293266393
5.75,-0.0317328068130234
5.76,-0.033007023905465
5.77,-0.0342040097800818
5.78,-0.0352721224277277
5.79,-0.0361582447340972
5.8,-0.0368111836190697
5.81,-0.0371850804096325
5.82,-0.0372425326595666
5.83,-0.0369571479867547
5.84,-0.0363152976229863
5.85,-0.0353169070708336
